1148,Items,ID,Stackability,Survival Obtainable,Peaceful Obtainable,Hunger,Saturation,Effect When Eaten,Is Weapon,Attack Speed,Attack Damage,Damage Per Second,Breaking Speed,Cooldown (in seconds),XP From Smelting,Obtainable By Smelting,Smeltable,Fuel Duration,Renewable
,Stone,stone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,With Furnace Only,With Furnace Only,None,Yes
,Granite,granite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Polished Granite,polished_granite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Diorite,diorite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Polished Diorite,polished_diorite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Andesite,andesite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Polished Andesite,polished_andesite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Deepslate,deepslate,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,With Furnace Only,No,None,No
,Cobbled Deepslate,cobbled_deepslate,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,No
,Polished Deepslate,polished_deepslate,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Calcite,calcite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Tuff,tuff,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Dripstone Block,dripstone_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Grass Block,grass_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Dirt,dirt,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Coarse Dirt,coarse_dirt,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Podzol,podzol,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Rooted Dirt,rooted_dirt,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Mud,mud,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Crimson Nylium,crimson_nylium,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Warped Nylium,warped_nylium,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Cobblestone,cobblestone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
,Oak Planks,oak_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Spruce Planks,spruce_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Birch Planks,birch_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Jungle Planks,jungle_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Acacia Planks,acacia_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Dark Oak Planks,dark_oak_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Mangrove Planks,mangrove_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Crimson Planks,crimson_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Warped Planks,warped_planks,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oak Sapling,oak_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Spruce Sapling,spruce_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Birch Sapling,birch_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Jungle Sapling,jungle_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Acacia Sapling,acacia_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Dark Oak Sapling,dark_oak_sapling,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Mangrove Propagule,mangrove_propagule,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Sand,sand,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
,Red Sand,red_sand,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
,Gravel,gravel,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Coal Ore,coal_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Blast Furnace,None,No
,Deepslate Coal Ore,deepslate_coal_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Blast Furnace,None,No
