ID,Items,Stackability,Survival Obtainable,Peaceful Obtainable,Hunger,Saturation,Effect When Eaten,Is Weapon,Attack Speed,Attack Damage,Damage Per Second,Breaking Speed,Cooldown (in seconds),Smeltable,Fuel Duration,Renewable
stone,Stone,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
granite,Granite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
polished_granite,Polished Granite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
diorite,Diorite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
polished_diorite,Polished Diorite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
andesite,Andesite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
polished_andesite,Polished Andesite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
deepslate,Deepslate,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
cobbled_deepslate,Cobbled Deepslate,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,0
polished_deepslate,Polished Deepslate,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
calcite,Calcite,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
tuff,Tuff,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
dripstone_block,Dripstone Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
grass_block,Grass Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
dirt,Dirt,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
coarse_dirt,Coarse Dirt,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
podzol,Podzol,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
rooted_dirt,Rooted Dirt,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
mud,Mud,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
crimson_nylium,Crimson Nylium,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
warped_nylium,Warped Nylium,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
cobblestone,Cobblestone,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
oak_planks,Oak Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
spruce_planks,Spruce Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
birch_planks,Birch Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
jungle_planks,Jungle Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
acacia_planks,Acacia Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
dark_oak_planks,Dark Oak Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
mangrove_planks,Mangrove Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
crimson_planks,Crimson Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_planks,Warped Planks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oak_sapling,Oak Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
spruce_sapling,Spruce Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
birch_sapling,Birch Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
jungle_sapling,Jungle Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
acacia_sapling,Acacia Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
dark_oak_sapling,Dark Oak Sapling,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
mangrove_propagule,Mangrove Propagule,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
sand,Sand,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
red_sand,Red Sand,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
gravel,Gravel,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
coal_ore,Coal Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_coal_ore,Deepslate Coal Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
